City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
509,Bhagalpur,IN,25.25,87.0,93.18,53,100,11.54,moderate rain
510,Fengzhen,CN,40.4394,113.1536,84.65,49,50,18.07,scattered clouds
511,Mwene-Ditu,CD,-7.0,23.45,71.94,34,55,7.83,broken clouds
512,West Bay,KY,19.3667,-81.4167,82.99,84,94,1.01,overcast clouds
513,Zlatoust,RU,55.1711,59.6508,74.19,41,4,4.18,clear sky
514,Narasannapeta,IN,18.4167,84.05,82.29,81,98,5.01,moderate rain
515,Douglas,US,41.3,-96.167,80.78,78,0,10.36,clear sky
516,Zhezkazgan,KZ,47.8043,67.7144,80.58,24,0,22.37,clear sky
517,Camana,PE,-16.6228,-72.7111,60.37,85,73,7.85,broken clouds
518,Wajir,KE,1.7471,40.0573,75.07,53,54,17.47,broken clouds
519,Iralaya,HN,15.0,-83.2333,78.69,86,100,7.7,overcast clouds
520,Vitim,RU,59.4511,112.5578,55.85,90,100,6.33,light rain
521,Ambovombe,MG,-25.1667,46.0833,70.03,62,0,8.57,clear sky
522,Namibe,AO,-15.1961,12.1522,60.19,93,26,3.22,scattered clouds
523,Cumaral,CO,4.2708,-73.4867,68.54,96,100,3.31,light rain
524,Atikokan,CA,48.7555,-91.6216,65.46,94,100,7.94,overcast clouds
525,Osoyoos,CA,49.0331,-119.4524,73.81,35,60,8.05,broken clouds
526,Gushikawa,JP,26.3544,127.8686,88.83,78,75,5.75,mist
527,Lebu,CL,-37.6167,-73.65,49.75,91,100,4.09,overcast clouds
528,Belyy Yar,RU,53.6039,91.3903,70.86,39,0,6.71,clear sky
529,Berlevag,NO,70.8578,29.0864,57.15,58,97,0.0,overcast clouds
530,Walvis Bay,NA,-22.9575,14.5053,53.1,100,100,8.05,fog
531,Henties Bay,NA,-22.116,14.2845,56.59,82,26,3.91,scattered clouds
532,Chichimila,MX,20.6167,-88.2167,73.35,95,13,2.28,few clouds
533,Chardara,KZ,41.2547,67.9692,88.92,27,2,7.02,clear sky
534,Zhigansk,RU,66.7697,123.3711,54.91,99,100,9.57,moderate rain
535,Liuhe,CN,42.2401,125.7172,84.79,53,54,4.0,broken clouds
536,Bitam,GA,2.076,11.5007,68.32,98,99,1.97,overcast clouds
537,Gizo,SB,-8.103,156.8419,83.77,72,99,10.27,light rain
538,Lasa,IT,46.6166,10.7002,64.69,81,46,3.78,scattered clouds
539,Tyukalinsk,RU,55.8732,72.1967,76.01,47,47,7.85,scattered clouds
540,Urengoy,RU,65.9667,78.3667,69.53,55,88,8.25,overcast clouds
541,Sabaudia,IT,41.3003,13.0282,85.78,85,27,5.08,scattered clouds
542,Houma,US,29.5958,-90.7195,77.0,93,0,3.44,clear sky
543,Kauhajoki,FI,62.4333,22.1833,62.58,99,100,5.01,overcast clouds
544,Bahia Honda,CU,22.9036,-83.1592,77.41,86,6,4.68,moderate rain
545,Tazovskiy,RU,67.4667,78.7,54.55,94,99,11.3,overcast clouds
546,Yabrud,SY,33.9674,36.6574,86.47,29,0,7.85,clear sky
547,Cleveland,US,41.4995,-81.6954,74.23,92,0,0.0,clear sky
548,Matadi,CD,-5.8167,13.45,68.07,81,83,4.56,broken clouds
549,Porirua,NZ,-41.1333,174.85,58.42,90,100,27.18,moderate rain
550,Quesnel,CA,52.9999,-122.5029,54.1,87,0,0.0,clear sky
551,Yar-Sale,RU,66.8333,70.8333,69.71,55,69,12.73,broken clouds
552,Pandan,PH,14.0453,124.1694,85.08,70,100,7.72,light rain
553,Fort Nelson,CA,58.8053,-122.7002,67.59,49,75,6.91,broken clouds
554,San,ML,13.3034,-4.8956,75.04,84,74,7.09,broken clouds
555,Lagoa,PT,39.05,-27.9833,73.92,85,57,11.72,light rain
556,Rishra,IN,22.7142,88.3478,84.18,84,75,5.75,haze
557,Oranjemund,NA,-28.55,16.4333,53.33,84,54,3.53,broken clouds
558,Tuy Hoa,VN,13.0833,109.3,91.13,52,100,12.62,overcast clouds
559,Camacupa,AO,-12.0167,17.4833,56.46,38,48,4.72,scattered clouds
