City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Shingu,JP,84.02,broken clouds,33.7333,135.9833,Shingu UI Hotel
249,Adrar,MR,90.28,scattered clouds,20.5022,-10.0711,
251,Dong Xoai,VN,82.18,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
253,Stara Synyava,UA,73.15,clear sky,49.6032,27.6191,Готель Стара Синява LEX
255,Balsas,BR,73.99,scattered clouds,-7.5325,-46.0356,Novo Hotel
256,Carnarvon,AU,69.08,clear sky,-24.8667,113.6333,Hospitality Carnarvon
258,Moose Factory,CA,73.4,overcast clouds,51.2585,-80.6094,Cree Village Eco Lodge
261,Newton,US,76.05,clear sky,42.337,-71.2092,Sheraton Boston Needham Hotel
264,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
265,Veraval,IN,84.65,overcast clouds,20.9,70.3667,Lords Inn Somnath
266,Bathsheba,BB,80.06,few clouds,13.2167,-59.5167,Atlantis Hotel
268,Svetlogorsk,BY,72.9,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
269,Xochistlahuaca,MX,72.68,overcast clouds,16.7833,-98.25,La frontera
270,Pinyug,RU,75.94,clear sky,60.251,47.7842,
271,Laguna,US,75.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
272,Port Macquarie,AU,69.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
273,Come,BJ,70.88,broken clouds,6.4076,1.882,Gbehoue
274,Hauterive,FR,66.96,clear sky,46.0901,3.4459,Aletti Palace Hotel
276,Ibi,ES,69.93,clear sky,38.6253,-0.5723,Hotel Plata
277,Faanui,PF,77.04,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
278,Nantucket,US,78.91,mist,41.2835,-70.0995,Jared Coffin House
279,Borogontsy,RU,73.35,overcast clouds,62.6683,131.1683,
280,Lesnoy,RU,77.32,few clouds,57.6198,63.0784,Apartamenty Na Sovetskoy
281,Guarapari,BR,72.9,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
283,Ko Samui,TH,89.51,few clouds,9.5357,99.9357,The Passage
284,Tripoli,LY,80.38,clear sky,32.8752,13.1875,Al Waddan Hotel
286,Bethel,US,76.91,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
287,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
288,Kutum,SD,76.93,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
289,Erenhot,CN,87.94,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
290,Salalah,OM,77.83,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
293,Krasnogorsk,RU,75.54,clear sky,55.8225,37.3181,"Hotel ""Academy"""
296,Kananga,CD,74.82,broken clouds,-5.8958,22.4178,Guest House Wood Land
297,Wharton,US,77.99,clear sky,29.3116,-96.1027,Americas Best Value Inn Wharton
298,Manokwari,ID,83.55,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
299,Champerico,GT,79.72,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
300,Tenabo,MX,73.98,scattered clouds,20.05,-90.2333,Hotel Mangrove King Fishing
301,Pucallpa,PE,71.35,overcast clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
302,Morros,BR,75.88,broken clouds,-9.4467,-46.3003,
303,Lyubech,UA,73.06,clear sky,51.7026,30.6569,
306,Vostok,RU,74.82,overcast clouds,46.4856,135.8833,
307,Honiara,SB,82.69,overcast clouds,-9.4333,159.95,Heritage Park Hotel
309,Grand Gaube,MU,75.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
310,Teguldet,RU,73.72,broken clouds,57.3064,88.1667,
311,Marsa Matruh,EG,77.2,few clouds,31.3525,27.2453,Beau Site
312,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
314,Sumbe,AO,67.84,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
319,Dhandhuka,IN,88.02,broken clouds,22.3667,71.9833,Amin Auto
321,Meulaboh,ID,84.85,broken clouds,4.1363,96.1285,Kost Pria
323,Scituate,US,76.46,clear sky,42.1959,-70.7259,The Inn at Scituate Harbor
324,South Sioux City,US,80.2,broken clouds,42.4739,-96.4136,Hilton Garden Inn Sioux City Riverfront
326,Ranong,TH,87.73,broken clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
327,Najran,SA,81.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
328,Odweyne,SO,75.74,few clouds,9.4092,45.064,Eng Hiirey House
329,Aksu,CN,67.53,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
330,Parksville,CA,69.44,clear sky,49.3163,-124.3195,Oceanside Village Resort Parksville
332,Gwanda,ZW,66.13,clear sky,-20.9333,29.0,Mafax Homeways
334,Araouane,ML,89.19,scattered clouds,18.9048,-3.5265,
335,Nova Olimpia,BR,72.14,broken clouds,-14.7972,-57.2881,Motel glamour
336,Sao Filipe,CV,77.0,overcast clouds,14.8961,-24.4956,Hotel Xaguate
337,Yumen,CN,85.96,overcast clouds,40.2833,97.2,
338,Blagoyevo,RU,77.92,few clouds,63.3667,47.9167,
340,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
341,Hellin,ES,70.02,clear sky,38.5106,-1.701,Hotel Restaurante Reina Victoria
344,Oussouye,SN,76.66,overcast clouds,12.485,-16.5469,Auberge du Routard
345,Sitangkai,PH,83.61,light rain,4.6628,119.3928,Ama House
